index,node,prompt,class_name,is_leaf,classidx
0,n00021939,itap of a non-living thing.,non-living thing,0,99999
1,n00004258,itap of a living thing.,living thing,0,99999
2,n02913152,itap of a building.,building,0,99999
3,n00007846,itap of a person or human being.,person or human being,0,99999
4,n00015388,itap of a animal.,animal,0,99999
5,n03100490,itap of a transport vehicle.,transport vehicle,0,99999
6,n12992868,itap of a fungus.,fungus,0,99999
7,n09287968,itap of a geological formation a body of rock.,geological formation a body of rock,0,99999
8,n00017222,itap of a plant life.,plant life,0,99999
9,n03733131,itap of a maypole.,maypole,1,645
10,n03076708,itap of a object or item.,object or item,0,99999
11,n09229709,itap of a bubble.,bubble,1,971
12,n02808440,itap of a bathtub.,bathtub,1,435
13,n04235860,itap of a sleeping bag.,sleeping bag,1,797
14,n01861778,itap of a mammal.,mammal,0,99999
15,n03888257,itap of a parachute.,parachute,1,701
16,n04548362,itap of a wallet storage.,wallet storage,1,893
17,n02965783,itap of a car mirror.,car mirror,1,475
18,n02909870,itap of a bucket.,bucket,1,463
19,n03843555,itap of a oil filter.,oil filter,1,686
20,n03804744,itap of a metal nail.,metal nail,1,677
21,n07802026,itap of a hay fodder.,hay fodder,1,958
22,n03627232,itap of a rope knot.,rope knot,1,616
23,n03697007,itap of a lumbermill or sawmill.,lumbermill or sawmill,1,634
24,n03489162,itap of a hand tool.,hand tool,0,99999
25,n04116512,itap of a rubber pencil eraser.,rubber pencil eraser,1,767
26,n04044716,itap of a radio telescope.,radio telescope,1,755
27,n04423845,itap of a sewing thimble.,sewing thimble,1,855
28,n02317335,itap of a starfish.,starfish,1,327
29,n04153751,itap of a screw.,screw,1,783
30,n03776460,itap of a mobile home.,mobile home,1,660
31,n03291819,itap of a envelope.,envelope,1,549
32,n03953416,itap of a place of worship or house of prayer.,place of worship or house of prayer,0,99999
33,n10148035,itap of a groom or bridegroom.,groom or bridegroom,1,982
34,n00021265,itap of a food.,food,0,99999
35,n04576211,itap of a wheeled vehicle.,wheeled vehicle,0,99999
36,n02666196,itap of a abacus.,abacus,1,398
37,n04272054,itap of a spectacles or glasses.,spectacles or glasses,0,99999
38,n02978881,itap of a cassette.,cassette,1,481
39,n03498962,itap of a hatchet.,hatchet,1,596
40,n04235291,itap of a sled or sledge or sleigh.,sled or sledge or sleigh,0,99999
41,n12985857,itap of a coral fungus.,coral fungus,1,991
42,n03929660,itap of a plectrum.,plectrum,1,714
43,dummy131,itap of a cleaning equipment.,cleaning equipment,0,99999
44,n03278248,itap of a electronic appliance.,electronic appliance,0,99999
45,n02841315,itap of a binoculars or field glasses.,binoculars or field glasses,1,447
46,n02843684,itap of a birdhouse.,birdhouse,1,448
47,n09399592,itap of a promontory or headland a geological formation.,promontory or headland a geological formation,1,976
48,n04562935,itap of a water tower building.,water tower building,1,900
49,n02814860,itap of a beacon or lighthouse.,beacon or lighthouse,1,437
50,n03216828,itap of a dock or docking facility.,dock or docking facility,1,536
51,n04347754,itap of a submarine.,submarine,1,833
52,n04285146,itap of a sports equipment.,sports equipment,0,99999
53,n03976657,itap of a pole.,pole,1,733
54,n03661043,itap of a library.,library,1,624
55,n06785654,itap of a crossword puzzle.,crossword puzzle,1,918
56,n03873416,itap of a paddle  oar.,paddle  oar,1,693
57,n03527444,itap of a gun holster.,gun holster,1,597
